tax_period,tax_year,number_of_organizations,avg_program_expense_ratio,avg_administrative_expense_ratio,avg_fundraising_expense_ratio,avg_operating_margin,avg_asset_coverage_ratio
202212,2022,7657,95.24%,0.0456197158,0.001996987204,-7.308083355,44.68608637
202301,2023,56,95.77%,0.04231495619,0,0.05100735016,17.19413133
202302,2023,436,95.51%,0.04384224049,0.001046694633,-0.03299964081,6.82061633
202303,2023,2766,95.32%,0.04529561504,0.001492395351,-13.29851707,18.96106402
202304,2023,1777,96.30%,0.03603848504,0.001002080889,-0.1664420848,9.470762383
202305,2023,3516,96.25%,0.03626314281,0.001212888229,-0.2943613114,13.29380846
202306,2023,59222,96.29%,0.03597761233,0.001108890072,-3.798795908,218.2793137
202307,2023,3230,96.86%,0.02992081514,0.001459592192,-13.98458819,13.22587242
202308,2023,7247,96.58%,0.03296941808,0.001263139427,-4.715554241,12.07056919
202309,2023,16269,95.84%,0.04050139551,0.001107686218,-10.0600373,112.8035169
202310,2023,2590,96.01%,0.03879578357,0.001110868472,-1.581956961,72.857798
202311,2023,1109,95.62%,0.04269772038,0.001146137197,-3.125184821,47.69114948
202312,2023,186625,95.13%,0.04700979349,0.001662070629,-13.10198082,122.8028272
202401,2024,835,96.22%,0.0363024277,0.001491851608,-0.41006477,14.66675399
202402,2024,727,95.80%,0.04003095482,0.001954009938,-4.80493773,13.99233549
202403,2024,4010,96.10%,0.03749428771,0.001475000327,-0.7758574947,13.82864378
202404,2024,2189,96.90%,0.03054185146,0.0004544655816,-0.1773985515,7.852751248
202405,2024,3060,96.52%,0.03415272767,0.0006942581192,-1.674537306,9.200152262
202406,2024,25573,96.13%,0.03747054384,0.001200424402,-10.66075993,24.51404218
202407,2024,1719,96.77%,0.03177792098,0.0005701940802,-0.01932949029,5.878842082
202408,2024,1322,96.34%,0.03513998271,0.001424032192,-8.551397387,5.961768048
202409,2024,1130,95.39%,0.04538040023,0.0007123446625,-5.140178053,28.31488828
202410,2024,110,95.70%,0.0429250845,0.0001068666654,0.01805579307,5.938015068
202411,2024,15,98.81%,0.01192982368,0,-0.04040836041,3.688817514
202412,2024,9,91.51%,0.084872296,0,-0.1611732671,1.123813212
